Date,FB,GOOG,NFLX,AMZN,AAPL,FB,GOOG,NFLX,AMZN,AAPL
2018/9/24,165.410004,1173.369995,369.609985,1934.359985,220.789993,,,,,
2018/9/25,164.910004,1184.650024,369.429993,1974.550049,222.190002,-0.00302737,0.009567446,-0.000487097,0.020564034,0.006320889
2018/9/26,166.949997,1180.48999,377.880005,1974.849976,220.419998,0.012294454,-0.003517795,0.02261544,0.000151885,-0.007998073
2018/9/27,168.839996,1194.640015,380.709991,2012.97998,224.949997,0.011257149,0.011915299,0.007461209,0.019123767,0.020343334
2018/9/28,164.460007,1193.469971,374.130005,2003,225.740005,-0.026284075,-0.000979891,-0.017434563,-0.004970145,0.003505775
2018/10/1,162.440002,1195.310059,381.429993,2004.359985,227.259995,-0.012358707,0.001540609,0.019323985,0.000678744,0.006710798
2018/10/2,159.330002,1200.109985,377.140015,1971.310059,229.279999,-0.019331179,0.004007591,-0.011310818,-0.016626474,0.008849245
2018/10/3,162.429993,1202.949951,377.049988,1952.76001,232.070007,0.019269561,0.002363626,-0.000238738,-0.009454565,0.012095121
2018/10/4,158.850006,1168.189941,363.649994,1909.420044,227.990005,-0.022286698,-0.029321341,-0.036185923,-0.022444208,-0.01773729
2018/10/5,157.330002,1157.349976,351.350006,1889.650024,224.289993,-0.009614876,-0.009322604,-0.034408955,-0.010407915,-0.016361964
2018/10/8,157.25,1148.969971,349.100006,1864.420044,223.770004,-0.000508627,-0.007267025,-0.006424463,-0.013441603,-0.00232107
2018/10/9,157.899994,1138.819946,355.709991,1870.319946,226.869995,0.004124988,-0.008873272,0.018757336,0.003159474,0.013758388
2018/10/10,151.380005,1081.219971,325.890015,1755.25,216.360001,-0.042168618,-0.051902585,-0.08755582,-0.063498213,-0.047433453
2018/10/11,153.350006,1079.319946,321.100006,1719.359985,214.449997,0.012929665,-0.001758843,-0.014807327,-0.020659177,-0.008867095
2018/10/12,153.740005,1110.079956,339.559998,1788.609985,222.110001,0.002539967,0.028100882,0.055898036,0.039486654,0.035096162
2018/10/15,153.520004,1092.25,333.130005,1760.949951,217.360001,-0.001432019,-0.016192256,-0.019117837,-0.015585365,-0.021617789
2018/10/16,158.779999,1121.280029,346.399994,1819.959961,222.149994,0.033688712,0.026231127,0.03906134,0.032961093,0.021797833
2018/10/17,159.419998,1115.689941,364.700012,1831.72998,221.190002,0.004022626,-0.004997921,0.051480971,0.006446363,-0.004330733
2018/10/18,154.919998,1087.969971,346.709991,1770.719971,216.020004,-0.028633375,-0.025159447,-0.050586461,-0.033874637,-0.023651055
2018/10/19,154.050003,1096.459961,332.670013,1764.030029,219.309998,-0.005631597,0.007773225,-0.041337623,-0.003785246,0.01511523
2018/10/22,154.779999,1101.160034,329.540009,1789.300049,220.649994,0.004727503,0.004277428,-0.009453277,0.014223529,0.006091464
2018/10/23,154.389999,1103.689941,333.160004,1768.699951,222.729996,-0.002522885,0.002294857,0.010925097,-0.011579724,0.009382549
2018/10/24,146.039993,1050.709961,301.829987,1664.199951,215.089996,-0.055601353,-0.049192969,-0.098758965,-0.060900288,-0.034903731
2018/10/25,150.949997,1095.569946,312.869995,1782.170044,219.800003,0.033068127,0.041808637,0.035923851,0.06848725,0.021661529
2018/10/26,145.369995,1071.469971,299.829987,1642.810059,216.300003,-0.037666454,-0.022243216,-0.042572149,-0.081423521,-0.016051709
2018/10/29,142.089996,1020.080017,284.839996,1538.880005,212.240005,-0.022821551,-0.049150438,-0.051287999,-0.065353344,-0.018948613
2018/10/30,146.220001,1036.209961,285.809998,1530.420044,213.300003,0.028651712,0.015688716,0.003399642,-0.005512646,0.004981906
2018/10/31,151.789993,1076.77002,301.779999,1598.01001,218.860001,0.037385597,0.038396049,0.054371024,0.043216875,0.025732621
2018/11/1,151.75,1070,317.380005,1665.530029,222.220001,-0.000263511,-0.006307189,0.050401538,0.041384297,0.015235626
2018/11/2,150.350006,1057.790039,309.100006,1665.530029,207.479996,-0.009268481,-0.011476786,-0.026434941,0,-0.068632956
2018/11/5,148.679993,1040.089966,315.440002,1627.800049,201.589996,-0.011169651,-0.016874648,0.020303627,-0.022913968,-0.028799018
2018/11/6,149.940002,1055.810059,310.839996,1642.810059,203.770004,0.008438929,0.015001086,-0.014690198,0.009178786,0.010756014
2018/11/7,151.529999,1093.390015,327.5,1755.48999,209.949997,0.010548391,0.034974675,0.052209758,0.066339788,0.029877466
2018/11/8,147.869995,1082.400024,317.920013,1754.910034,208.490005,-0.024450143,-0.010102155,-0.029688235,-0.000330422,-0.00697829
2018/11/9,144.960007,1066.150024,303.470001,1712.430054,204.470001,-0.019875585,-0.015126769,-0.046517058,-0.024504147,-0.019469832
2018/11/12,141.550003,1038.630005,294.070007,1636.849976,194.169998,-0.023804858,-0.026151509,-0.031464904,-0.045139797,-0.051687217
2018/11/13,142.160004,1036.050049,294.399994,1631.170044,192.229996,0.004300179,-0.002487089,0.001121508,-0.003476073,-0.010041503
2018/11/14,144.220001,1043.660034,286.730011,1599.01001,186.800003,0.014386706,0.007318346,-0.026398322,-0.019912882,-0.028654009
2018/11/15,143.850006,1064.709961,290.059998,1619.439941,191.410004,-0.002568787,0.019968626,0.011546746,0.01269568,0.024379203
2018/11/16,139.529999,1061.48999,286.209991,1593.410034,193.529999,-0.030491507,-0.003028853,-0.013362016,-0.016203979,0.011014789
2018/11/19,131.550003,1020,270.600006,1512.290039,185.860001,-0.058892594,-0.039870945,-0.056084038,-0.052251311,-0.040438827
2018/11/20,132.429993,1025.76001,266.980011,1495.459961,176.979996,0.006667121,0.005631184,-0.013467947,-0.011191258,-0.048956998
2018/11/21,134.820007,1037.609985,262.130005,1516.72998,176.779999,0.017886456,0.011486166,-0.018333207,0.014122863,-0.001130693
2018/11/23,131.729996,1023.880005,258.820007,1502.060059,172.289993,-0.023186264,-0.01332064,-0.012707717,-0.00971915,-0.025726953
2018/11/26,136.380005,1048.619995,261.429993,1581.329956,174.619995,0.034690801,0.023875672,0.010033668,0.051428699,0.013433093
2018/11/27,135,1044.410034,266.630005,1581.420044,174.240005,-0.010170365,-0.004022844,0.019695414,5.69681E-05,-0.002178468
2018/11/28,136.759995,1086.22998,282.649994,1677.75,180.940002,0.01295275,0.039260802,0.058347414,0.059130405,0.037731808
2018/11/29,138.679993,1088.300049,288.75,1673.569946,179.550003,0.013941542,0.001903924,0.0213519,-0.002494573,-0.007711758
2018/11/30,140.610001,1094.430054,286.130005,1690.170044,178.580002,0.013821037,0.005616838,-0.009114991,0.009870105,-0.005417046
2018/12/3,141.089996,1106.430054,290.299988,1772.359985,184.820007,0.003407849,0.010904936,0.014468559,0.047482842,0.034345725
2018/12/4,137.929993,1050.819946,275.329987,1668.400024,176.690002,-0.022651697,-0.051567904,-0.052944499,-0.060446886,-0.04498562
2018/12/6,139.630005,1068.72998,282.880005,1699.189941,174.720001,0.012249843,0.016900249,0.027052466,0.018286534,-0.011212098
2018/12/7,137.419998,1036.579956,265.140015,1629.130005,168.490005,-0.015954188,-0.030544219,-0.064764752,-0.042105499,-0.036308268
2018/12/10,141.850006,1039.550049,269.700012,1641.030029,169.600006,0.031728289,0.002861184,0.01705223,0.007277978,0.006566328
2018/12/11,142.080002,1051.75,265.320007,1643.23999,168.630005,0.00162009,0.011667469,-0.016373604,0.001345785,-0.005735763
2018/12/12,144.5,1063.680054,274.880005,1663.540039,169.100006,0.016889214,0.011279201,0.035397986,0.012277989,0.002783296
2018/12/13,145.009995,1061.900024,276.019989,1658.380005,170.949997,0.003523164,-0.001674866,0.00413863,-0.00310666,0.010880807
2018/12/14,144.059998,1042.099976,266.839996,1591.910034,165.479996,-0.006572806,-0.018821894,-0.033824074,-0.040906651,-0.032520781
2018/12/17,140.190002,1016.530029,262.799988,1520.910034,163.940002,-0.027231206,-0.02484299,-0.015255972,-0.045625712,-0.009349798
2018/12/18,143.660004,1028.709961,270.940002,1551.47998,166.070007,0.024450765,0.011910657,0.030504161,0.019900439,0.012908909
2018/12/19,133.240005,1023.01001,266.769989,1495.079956,160.889999,-0.075297374,-0.00555628,-0.015510579,-0.037029613,-0.031688533
2018/12/20,133.399994,1009.409973,260.579987,1460.829956,156.830002,0.001200038,-0.013383297,-0.023476957,-0.02317495,-0.025558467
2018/12/21,124.949997,979.539978,246.389999,1377.449951,150.729996,-0.065438455,-0.030038203,-0.055994224,-0.058770809,-0.039672299
2018/12/24,124.059998,976.219971,233.880005,1343.959961,146.830002,-0.00714833,-0.00339511,-0.052107458,-0.024613477,-0.026214662
2018/12/26,134.179993,1039.459961,253.669998,1470.900024,157.169998,0.078416827,0.062768648,0.081226017,0.090254024,0.068052541
2018/12/27,134.520004,1043.880005,255.570007,1461.640015,156.149994,0.002530787,0.004243235,0.00746217,-0.006315371,-0.006510964
2018/12/28,133.199997,1037.079956,256.079987,1478.02002,156.229996,-0.009861181,-0.006535516,0.001993473,0.011144265,0.00051221
2018/12/31,131.089996,1035.609985,267.660004,1501.969971,157.740005,-0.015967656,-0.001418419,0.044227688,0.016074193,0.009618885
2019/1/2,135.679993,1045.849976,267.660004,1539.130005,157.919998,0.034415041,0.009839318,0,0.024439765,0.001140423
2019/1/3,131.740005,1016.059998,271.200012,1500.280029,142.190002,-0.029468799,-0.028897528,0.013139067,-0.025565548,-0.104924358
2019/1/4,137.949997,1070.709961,297.570007,1575.390015,148.259995,0.046060958,0.052389543,0.092792915,0.048851094,0.04180325
2019/1/7,138.050003,1068.390015,315.339996,1629.51001,147.929993,0.000724681,-0.002169087,0.058001894,0.033776492,-0.002228314
2019/1/8,142.529999,1076.280029,320.269989,1656.579956,150.75,0.031936537,0.007357821,0.015512947,0.016475847,0.018883694
2019/1/9,144.229996,1074.660034,319.959991,1659.420044,153.309998,0.011856723,-0.001506314,-0.000968396,0.001712961,0.016839167
2019/1/10,144.199997,1070.329956,324.660004,1656.219971,153.800003,-0.000208016,-0.004037393,0.014582533,-0.00193029,0.003191074
2019/1/11,143.800003,1057.189941,337.589996,1640.560059,152.289993,-0.002777738,-0.012352582,0.039053636,-0.009500197,-0.009866525
2019/1/14,145.389999,1044.689941,332.940002,1617.209961,150,0.010996314,-0.011894255,-0.01386983,-0.014335265,-0.015151258
2019/1/15,148.949997,1077.150024,354.640015,1674.560059,153.070007,0.024190879,0.030598552,0.063140933,0.034848061,0.020260085
2019/1/16,147.539993,1080.969971,351.390015,1683.780029,154.940002,-0.009511381,0.003540073,-0.009206472,0.005490804,0.012142579
2019/1/17,148.300003,1089.900024,353.190002,1693.219971,155.860001,0.005137991,0.008227212,0.005109401,0.005590741,0.005920217
2019/1/18,150.039993,1098.26001,339.100006,1696.199951,156.820007,0.011664609,0.007641147,-0.040711095,0.001758402,0.006140521
2019/1/22,147.570007,1070.52002,325.160004,1632.170044,153.300003,-0.016599192,-0.025582588,-0.041977686,-0.038479981,-0.02270189
2019/1/23,144.300003,1075.569946,321.98999,1640.02002,153.919998,-0.0224082,0.004706173,-0.009796923,0.004798004,0.004036168
2019/1/24,145.830002,1073.900024,326.670013,1654.930054,152.699997,0.010547087,-0.001553799,0.014430069,0.009050295,-0.007957781
2019/1/25,149.009995,1090.98999,338.049988,1670.569946,157.759995,0.021571811,0.015788628,0.034243251,0.009406109,0.032599667
2019/1/28,147.470001,1070.079956,335.660004,1637.890015,156.300003,-0.010388612,-0.019352161,-0.007095023,-0.019756016,-0.009297603
2019/1/29,144.190002,1060.619995,328.899994,1593.880005,154.679993,-0.022492884,-0.008879733,-0.02034502,-0.027237539,-0.010418835
2019/1/30,150.419998,1089.060059,340.660004,1670.430054,165.25,0.04229948,0.026461355,0.035131189,0.046909812,0.066101057
2019/1/31,166.690002,1116.369995,339.5,1718.72998,166.440002,0.102704444,0.024767353,-0.003410977,0.028504524,0.007175417
2019/2/1,165.710007,1110.75,339.850006,1626.22998,166.520004,-0.005896497,-0.005046883,0.001030414,-0.055321194,0.00048055
2019/2/4,169.25,1132.800049,351.339996,1633.310059,171.25,0.021137597,0.019657024,0.033250043,0.004344227,0.028009031
2019/2/5,171.160004,1145.98999,355.809998,1658.810059,174.179993,0.011221903,0.011576396,0.012642471,0.015491847,0.01696473
2019/2/6,170.490005,1115.22998,352.190002,1640.26001,174.240005,-0.003922142,-0.02720824,-0.010226067,-0.011245741,0.000344481
2019/2/7,166.380005,1098.709961,344.709991,1614.369995,170.940002,-0.024402314,-0.014923915,-0.021467351,-0.015909987,-0.019121058
2019/2/8,167.330002,1095.060059,347.570007,1588.219971,170.410004,0.005693564,-0.003327519,0.008262646,-0.016330911,-0.003105308
2019/2/11,165.789993,1095.01001,345.730011,1591,169.429993,-0.009246037,-4.57054E-05,-0.005307948,0.001748875,-0.005767501
2019/2/12,165.039993,1121.369995,359.970001,1638.01001,170.889999,-0.004534059,0.023787643,0.040362542,0.029119347,0.008580248
2019/2/13,164.070007,1120.160034,351.769989,1640,170.179993,-0.005894618,-0.001079585,-0.023043176,0.001214145,-0.00416341
2019/2/14,163.949997,1121.670044,359.070007,1622.650024,170.800003,-0.000731724,0.001347123,0.020539853,-0.010635612,0.00363664
2019/2/15,162.5,1113.650024,356.869995,1607.949951,170.419998,-0.008883483,-0.007175755,-0.006145819,-0.009100585,-0.002227332
2019/2/19,162.289993,1118.560059,361.920013,1627.579956,170.929993,-0.001293187,0.004399266,0.014051673,0.012134177,0.002988108
2019/2/20,162.559998,1113.800049,359.910004,1622.099976,172.029999,0.001662337,-0.00426456,-0.005569218,-0.003372631,0.006414799
2019/2/21,160.039993,1096.969971,356.970001,1619.439941,171.059998,-0.015623412,-0.015225829,-0.008202264,-0.001641217,-0.005654514
2019/2/22,161.889999,1110.369995,363.019989,1631.560059,172.970001,0.011493346,0.012141481,0.016806151,0.007456274,0.011103814
2019/2/25,164.619995,1109.400024,363.910004,1633,174.229996,0.016722671,-0.000873938,0.002448696,0.000882165,0.007258068
2019/2/26,164.130005,1115.130005,364.970001,1636.400024,174.330002,-0.00298093,0.005151644,0.002908566,0.002079908,0.000573824
2019/2/27,162.809998,1116.050049,362.869995,1641.089966,174.869995,-0.008074963,0.000824715,-0.005770532,0.002861913,0.003092746
2019/2/28,161.449997,1119.920044,358.100006,1639.829956,173.149994,-0.008388386,0.003461584,-0.013232336,-0.000768083,-0.009884576
2019/3/1,162.279999,1140.98999,357.320007,1671.72998,174.970001,0.005127754,0.018639004,-0.002180535,0.019266455,0.0104563
2019/3/4,167.369995,1147.800049,351.040009,1696.170044,175.850006,0.030883668,0.005950812,-0.017731556,0.014513788,0.005016857
2019/3/5,171.259995,1162.030029,354.299988,1692.430054,175.529999,0.02297594,0.012321391,0.009243775,-0.002207396,-0.00182143
2019/3/6,172.509995,1157.859985,359.609985,1668.949951,174.520004,0.007272336,-0.00359504,0.014876091,-0.013970741,-0.005770592
2019/3/7,169.130005,1143.300049,352.600006,1625.949951,172.5,-0.019787497,-0.0126546,-0.019685782,-0.026102427,-0.011642135
2019/3/8,169.600006,1142.319946,349.600006,1620.800049,172.910004,0.002775079,-0.000857626,-0.008544626,-0.003172345,0.002374015
2019/3/11,172.070007,1175.76001,358.859985,1670.619995,178.899994,0.014458653,0.028853521,0.026142638,0.030274927,0.034055706
2019/3/12,171.919998,1193.199951,356.269989,1673.099976,180.910004,-0.000872171,0.014723977,-0.007243459,0.001483367,0.011172735
2019/3/13,173.369995,1193.319946,361.209991,1690.810059,181.710007,0.008398769,0.000100561,0.013770642,0.01052956,0.004412356
2019/3/14,170.169998,1185.550049,358.820007,1686.219971,183.729996,-0.018630085,-0.00653245,-0.006638592,-0.002718419,0.011055219
2019/3/15,165.979996,1184.459961,361.459991,1712.359985,186.119995,-0.024930651,-0.000919902,0.007330471,0.015383207,0.012924333
2019/3/18,160.470001,1184.26001,363.440002,1742.150024,188.020004,-0.03376026,-0.000168826,0.005462866,0.017247469,0.010156761
2019/3/19,161.570007,1198.849976,358.779999,1761.849976,186.529999,0.006831513,0.012244629,-0.012904842,0.011244383,-0.007956283
2019/3/20,165.440002,1223.969971,375.220001,1797.27002,188.160004,0.023670075,0.020736906,0.044803139,0.019904478,0.008700607
2019/3/21,166.080002,1231.540039,377.869995,1819.26001,195.089996,0.003861009,0.0061658,0.007037685,0.012160972,0.036168284
2019/3/22,164.339996,1205.5,361.01001,1764.77002,191.050003,-0.010532184,-0.021371032,-0.045644521,-0.030409449,-0.02092578
2019/3/25,166.289993,1193,366.230011,1774.26001,188.740005,0.011795782,-0.010423276,0.014355895,0.005363059,-0.012164757
2019/3/26,167.679993,1184.619995,359.970001,1783.76001,186.789993,0.008324149,-0.007049099,-0.017240884,0.005340061,-0.010385479
2019/3/27,165.869995,1173.02002,353.369995,1765.699951,188.470001,-0.010853041,-0.009840407,-0.018505045,-0.010176317,0.008953895
2019/3/28,165.550003,1168.48999,354.609985,1773.420044,188.720001,-0.001931037,-0.003869328,0.003502899,0.004362726,0.001325592
2019/3/29,166.690002,1173.310059,356.559998,1780.75,189.949997,0.00686253,0.004116556,0.005483971,0.004124713,0.006496423
2019/4/1,168.699997,1194.430054,366.959991,1814.189941,191.240005,0.01198616,0.017840265,0.028750303,0.018604431,0.006768346
2019/4/2,174.199997,1200.48999,367.720001,1813.97998,194.020004,0.032082075,0.005060669,0.002068956,-0.000115739,0.014432057
2019/4/3,173.539993,1205.920044,369.75,1820.699951,195.350006,-0.003795967,0.004512999,0.00550532,0.0036977,0.006831585
2019/4/4,176.020004,1215,367.880005,1818.859985,195.690002,0.014189568,0.007501279,-0.00507029,-0.001011093,0.001738932
2019/4/5,175.720001,1207.150024,365.48999,1837.280029,197,-0.001705823,-0.006481847,-0.00651792,0.01007631,0.006671944
2019/4/8,174.929993,1203.839966,361.410004,1849.859985,200.100006,-0.004505971,-0.00274581,-0.011225833,0.00682372,0.015613543
2019/4/9,177.580002,1197.25,364.709991,1835.839966,199.5,0.015035369,-0.005489159,0.009089434,-0.007607829,-0.003003035
2019/4/10,177.820007,1202.160034,363.920013,1847.329956,200.619995,0.001350619,0.004092707,-0.002168394,0.006239206,0.00559831
2019/4/11,177.509995,1204.619995,367.649994,1844.069946,198.949997,-0.001744925,0.002044193,0.010197283,-0.001766273,-0.008359025
2019/4/12,179.100006,1217.869995,351.140015,1843.060059,198.869995,0.008917425,0.010939267,-0.045946335,-0.00054779,-0.000402202
2019/4/15,179.649994,1221.099976,348.869995,1844.869995,199.229996,0.003066138,0.002648645,-0.006485701,0.000981546,0.001808596
2019/4/16,178.869995,1227.130005,359.459991,1863.040039,199.25,-0.004351223,0.004926041,0.029903535,0.009800771,0.000100402
2019/4/17,178.779999,1236.339966,354.73999,1864.819946,203.130005,-0.000503263,0.007477261,-0.013217782,0.000954922,0.019285875
2019/4/18,178.279999,1236.369995,360.350006,1861.689941,203.860001,-0.002800652,2.42883E-05,0.015690699,-0.001679859,0.003587296
2019/4/22,181.440002,1248.839966,377.339996,1887.310059,204.529999,0.017569689,0.01003543,0.046070829,0.01366792,0.00328117
2019/4/23,183.779999,1264.550049,381.890015,1923.77002,207.479996,0.012814353,0.012501273,0.011986021,0.019134247,0.014320271
2019/4/24,182.580002,1256,374.230011,1901.75,207.160004,-0.006550941,-0.006784298,-0.020262037,-0.011512298,-0.001543469
2019/4/25,193.259995,1263.449951,368.329987,1902.25,205.279999,0.056847963,0.005913968,-0.015891371,0.000262881,-0.009116565
2019/4/26,191.490005,1272.180054,374.850006,1950.630005,204.300003,-0.009200793,0.006885971,0.017546722,0.025115004,-0.004785379
2019/4/29,194.779999,1287.579956,371.829987,1938.430054,204.610001,0.017035097,0.012032447,-0.008089236,-0.006274005,0.001516217
2019/4/30,193.399994,1188.47998,370.540009,1926.52002,200.669998,-0.007110159,-0.08008929,-0.0034753,-0.006163118,-0.019443975
2019/5/1,193.029999,1168.079956,378.809998,1911.52002,210.520004,-0.00191494,-0.017313825,0.022073329,-0.007816529,0.047918922
2019/5/2,192.529999,1162.609985,379.059998,1900.819946,209.149994,-0.002593632,-0.004693873,0.000659744,-0.005613404,-0.00652901
2019/5/3,195.470001,1185.400024,385.029999,1962.459961,211.75,0.01515494,0.019412826,0.015626752,0.031913425,0.012354664
2019/5/6,193.880005,1189.390015,378.670013,1950.550049,208.479996,-0.008167483,0.003360293,-0.016656103,-0.006087359,-0.015563239
2019/5/7,189.770004,1174.099976,370.459991,1921,202.860001,-0.021426603,-0.012938707,-0.021919695,-0.015265525,-0.027327003
2019/5/8,189.539993,1166.27002,364.369995,1917.77002,202.899994,-0.001212787,-0.006691237,-0.016575631,-0.001682821,0.000197126
2019/5/9,188.649994,1162.380005,362.75,1899.869995,200.720001,-0.004706633,-0.003341008,-0.004455929,-0.009377603,-0.01080231
2019/5/10,188.339996,1164.27002,361.040009,1889.97998,197.179993,-0.001644596,0.001624667,-0.004725111,-0.005219224,-0.017793925
2019/5/13,181.539993,1132.030029,345.26001,1822.680054,185.720001,-0.036772842,-0.028081792,-0.044690995,-0.036258261,-0.059876813
2019/5/14,180.729996,1120.439941,345.609985,1840.119995,188.660004,-0.004471794,-0.010291094,0.001013143,0.009522809,0.015706306
2019/5/15,186.270004,1164.209961,354.98999,1871.150024,190.919998,0.030193073,0.038321299,0.026778664,0.016722444,0.011908007
2019/5/16,186.990005,1178.97998,359.309998,1907.569946,190.080002,0.003857911,0.012606929,0.012095928,0.019276925,-0.004409435
2019/5/17,185.300003,1162.300049,354.450012,1869,189,-0.009079017,-0.014248798,-0.013618194,-0.020426624,-0.005698032
2019/5/20,182.720001,1138.849976,348.109985,1858.969971,183.089996,-0.014021218,-0.020381883,-0.018048847,-0.005380973,-0.031769202
2019/5/21,184.820007,1149.630005,354.269989,1857.52002,186.600006,0.011427484,0.009421196,0.017540825,-0.00078028,0.018989507
2019/5/22,185.320007,1151.420044,359.730011,1859.680054,182.779999,0.002701682,0.001555846,0.015294477,0.001162183,-0.020684082
2019/5/23,180.869995,1140.77002,352.209991,1815.47998,179.660004,-0.024305585,-0.009292511,-0.021126218,-0.024054574,-0.01721704
2019/5/24,181.059998,1133.469971,354.390015,1823.280029,178.970001,0.001049943,-0.006419792,0.006170481,0.004287208,-0.003847998
2019/5/28,184.309998,1134.150024,355.059998,1836.430054,178.229996,0.017790655,0.000599795,0.00188874,0.007186406,-0.004143371
2019/5/29,182.190002,1116.459961,349.190002,1819.189941,177.380005,-0.011569002,-0.015720562,-0.016670591,-0.009432184,-0.004780476
2019/5/30,183.009995,1117.949951,351.850006,1816.319946,178.300003,0.004490659,0.001333677,0.007588773,-0.001578868,0.00517319
2019/5/31,177.470001,1103.630005,343.279999,1775.069946,175.070007,-0.030739183,-0.012891856,-0.024658528,-0.022972618,-0.018281608
2019/6/3,164.149994,1036.22998,336.630005,1692.689941,173.300003,-0.078020979,-0.063015644,-0.019562019,-0.047520884,-0.01016172
